,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,roT-M9epcHDOGjYgGmWpoA,ras-plant-based-brooklyn,Ras Plant Based,https://s3-media4.fl.yelpcdn.com/bphoto/MjF2oeWNHPQKrpYt3lLwVw/o.jpg,FALSE,https://www.yelp.com/biz/ras-plant-based-brooklyn?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,71,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'vegan', 'title': 'Vegan'}]",5,"{'latitude': 40.67341, 'longitude': -73.956712}","['delivery', 'pickup']","{'address1': '739 Franklin Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['739 Franklin Ave', 'Brooklyn, NY 11238']}",17186226220,(718) 622-6220,2761.009953,
1,NPmqKZzKxwEXCZQZL7viHA,ghenet-brooklyn-brooklyn,Ghenet Brooklyn,https://s3-media1.fl.yelpcdn.com/bphoto/vKP2seg2qOv7it0uwjPkPw/o.jpg,FALSE,https://www.yelp.com/biz/ghenet-brooklyn-brooklyn?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,496,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'african', 'title': 'African'}]",4,"{'latitude': 40.6791399, 'longitude': -73.98153}","['delivery', 'pickup']","{'address1': '348 Douglass St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['348 Douglass St', 'Brooklyn, NY 11217']}",17182304475,(718) 230-4475,4640.69429,$$
2,ECk9dN7IVQvueTCoGO6gCA,akwaaba-restaurant-brooklyn,AKWAABA RESTAURANT,https://s3-media3.fl.yelpcdn.com/bphoto/U0cqXbmQqr2M6qigiW-U7Q/o.jpg,FALSE,https://www.yelp.com/biz/akwaaba-restaurant-brooklyn?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,16,"[{'alias': 'african', 'title': 'African'}]",4.5,"{'latitude': 40.655952, 'longitude': -73.953308}",[],"{'address1': '604 Parkside Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11226', 'country': 'US', 'state': 'NY', 'display_address': ['604 Parkside Ave', 'Brooklyn, NY 11226']}",13479852588,(347) 985-2588,1248.948701,$$
3,Bo1eW6NCzOMuxIyu6CzutQ,brooklyn-suya-brooklyn-2,Brooklyn Suya,https://s3-media4.fl.yelpcdn.com/bphoto/MK7bCtJjtzId-YREx-7w_A/o.jpg,FALSE,https://www.yelp.com/biz/brooklyn-suya-brooklyn-2?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,65,"[{'alias': 'african', 'title': 'African'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.5,"{'latitude': 40.67402, 'longitude': -73.95661}","['delivery', 'pickup']","{'address1': '717 Franklin Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['717 Franklin Ave', 'Brooklyn, NY 11216']}",17185130122,(718) 513-0122,2815.144768,$$
4,FdB6KDTEmX8HvomPwySAHg,joloff-restaurant-brooklyn,Joloff Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/n9NXWl4uPcRjbtJC1_psKg/o.jpg,FALSE,https://www.yelp.com/biz/joloff-restaurant-brooklyn?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,191,"[{'alias': 'senegalese', 'title': 'Senegalese'}, {'alias': 'halal', 'title': 'Halal'}]",4,"{'latitude': 40.6841, 'longitude': -73.95422}","['delivery', 'pickup']","{'address1': '1168 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['1168 Bedford Ave', 'Brooklyn, NY 11216']}",17182300523,(718) 230-0523,3755.893399,$$
5,l4fwf8VwAokv3MWT45Ab7g,bunna-cafe-brooklyn,Bunna Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/jGKIcCZ2lx23kKX2YRug7g/o.jpg,FALSE,https://www.yelp.com/biz/bunna-cafe-brooklyn?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,629,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'african', 'title': 'African'}]",4.5,"{'latitude': 40.705042, 'longitude': -73.928078}","['delivery', 'pickup']","{'address1': '1084 Flushing Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1084 Flushing Ave', 'Brooklyn, NY 11237']}",13472952227,(347) 295-2227,5938.015893,$$
6,YJ05uT-i4-pTUB_y1an6zw,awash-brooklyn-brooklyn-5,Awash Brooklyn,https://s3-media1.fl.yelpcdn.com/bphoto/e_16iI66wCBiTs8_iiueIA/o.jpg,FALSE,https://www.yelp.com/biz/awash-brooklyn-brooklyn-5?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,190,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'african', 'title': 'African'}]",4,"{'latitude': 40.6858, 'longitude': -73.99441}","['delivery', 'pickup']","{'address1': '242 Court St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['242 Court St', 'Brooklyn, NY 11201']}",17182432151,(718) 243-2151,5957.100687,$$
7,r_QEUVdoo8dsKR9fK31w3w,paradis-des-gouts-brooklyn,Paradis Des Gouts,https://s3-media4.fl.yelpcdn.com/bphoto/AD-VB6dzNNXuh4sUYCq4mw/o.jpg,FALSE,https://www.yelp.com/biz/paradis-des-gouts-brooklyn?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,53,"[{'alias': 'african', 'title': 'African'}, {'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 40.69333, 'longitude': -73.92931}","['delivery', 'pickup']","{'address1': '1136 Broadway', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1136 Broadway', 'Brooklyn, NY 11221']}",17184434584,(718) 443-4584,4645.028871,$$
8,Ra7TDn3poDX1RGMKMKTcBA,hills-kitchen-brooklyn-2,Hills Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/sEbUu_tw0jJAVyjYcBAd9w/o.jpg,FALSE,https://www.yelp.com/biz/hills-kitchen-brooklyn-2?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,22,"[{'alias': 'african', 'title': 'African'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'soup', 'title': 'Soup'}]",4,"{'latitude': 40.70253, 'longitude': -73.92513}","['delivery', 'pickup']","{'address1': '252 Knickerbocker Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['252 Knickerbocker Ave', 'Brooklyn, NY 11237']}",19294808775,(929) 480-8775,5700.697832,
9,wSr-7T0yep69hlqCGFuTSA,festac-grill-brooklyn,Festac Grill,https://s3-media3.fl.yelpcdn.com/bphoto/p0x8tbwHp1p6CNFmh_K6tQ/o.jpg,FALSE,https://www.yelp.com/biz/festac-grill-brooklyn?adjust_creative=JpdKfokHU6gE_qqoxecpzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JpdKfokHU6gE_qqoxecpzg,24,"[{'alias': 'african', 'title': 'African'}]",4,"{'latitude': 40.6757317, 'longitude': -73.8899689}","['delivery', 'pickup']","{'address1': '263 Hendrix St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['263 Hendrix St', 'Brooklyn, NY 11207']}",13476275151,(347) 627-5151,4908.439954,$$
